Date,Confirmed,Recovered,Deaths,Active,NewCases,temperature
2020-05-24,56335,47207,6371,2757,159,19.3811866009672
2020-05-25,56590,47256,6385,2949,255,19.4384457766414
2020-05-26,56865,47322,6392,3151,275,20.4985876506285
2020-05-27,57085,47392,6401,3292,220,20.3693567938715
2020-05-28,57324,47561,6409,3354,239,19.6435059982371
2020-05-29,57587,47759,6418,3410,263,19.9830982629579
2020-05-30,57712,47997,6425,3290,125,19.4496246582529
2020-05-31,57765,48128,6432,3205,53,19.5722611155607
2020-06-01,57828,48180,6437,3211,63,19.9274401597319
2020-06-02,57943,48407,6442,3094,115,20.1422904560722
2020-06-03,58135,48711,6450,2974,192,20.2590985922529
2020-06-04,58305,48961,6457,2887,170,19.17161423853
2020-06-05,58575,49315,6459,2801,270,18.9806562929206
2020-06-06,58652,49715,6463,2474,77,19.5879997940045
2020-06-07,58695,49814,6465,2416,43,18.8362581826677
2020-06-08,58790,49964,6472,2354,95,17.0841382427405
2020-06-09,58935,50205,6472,2258,145,17.4715601584343
2020-06-10,59118,50473,6474,2171,183,17.7747489470828
2020-06-11,59249,50684,6476,2089,131,19.1606696779464
2020-06-12,59415,50915,6477,2023,166,20.3070456952446
2020-06-13,59452,51169,6482,1801,37,20.471696293639
2020-06-14,59484,51287,6487,1710,32,19.8625699196574
2020-06-15,59562,51333,6493,1736,78,20.2780991970152
2020-06-16,59676,51391,6494,1791,114,19.3916671167872
2020-06-17,59758,51501,6495,1762,82,18.9511308848447
2020-06-18,59867,51685,6496,1686,109,18.6942267504007
2020-06-19,59982,51848,6499,1635,115,19.9197419637936
2020-06-20,60037,52116,6501,1420,55,20.7177861463148
2020-06-21,60074,52189,6502,1383,37,21.5803487524968
2020-06-22,60165,52230,6503,1432,91,22.0817942608616
2020-06-23,60323,52318,6504,1501,158,22.2566532158159
2020-06-24,60369,52463,6505,1401,46,22.5567825482185
2020-06-25,60481,52644,6507,1330,112,23.2677907322559
2020-06-26,60729,52773,6508,1448,248,23.7176512312248
2020-06-27,60788,52938,6508,1342,59,23.4303916611743
2020-06-28,60857,52970,6509,1378,69,23.6647028247535
